binary_sha256,command,git_dirty,git_revision,invocation,layer,max_abs,mode,parity_pass,records,rmse,site,threads,tolerance_failures,top1_changes,top1_rows,trace_sha256,values
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",0,1.07288360596e-06,compare,True,57,2.78757257562e-08,attn_norm,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",0,9.53674316406e-06,compare,True,57,6.96382768614e-07,q_rope,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",0,1.19209289551e-05,compare,True,57,8.13274428801e-07,k_rope,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,10944
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",0,8.34465026855e-07,compare,True,57,2.48877896507e-08,attention,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",0,3.09944152832e-06,compare,True,57,9.88440180161e-08,attn_residual,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",0,1.40070915222e-06,compare,True,57,8.67946215178e-08,ffn_norm,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",0,2.5749206543e-05,compare,True,57,1.25354685017e-06,ffn_residual,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",14,1.38282775879e-05,compare,True,57,2.8122287066e-07,attn_norm,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",14,1.90734863281e-05,compare,True,57,1.35819188519e-06,q_rope,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",14,1.81198120117e-05,compare,True,57,1.44868707986e-06,k_rope,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,10944
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",14,4.41074371338e-06,compare,True,57,3.67083761994e-07,attention,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",14,0.00390625,compare,True,57,2.27614395923e-05,attn_residual,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",14,4.52995300293e-06,compare,True,57,1.80547353835e-07,ffn_norm,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",14,0.00390625,compare,True,57,2.27602908051e-05,ffn_residual,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",29,4.76837158203e-06,compare,True,57,3.05129106185e-07,attn_norm,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",29,1.43051147461e-05,compare,True,57,1.29586394024e-06,q_rope,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",29,1.14440917969e-05,compare,True,57,1.1327229959e-06,k_rope,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,10944
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",29,1.07288360596e-05,compare,True,57,1.01385737325e-06,attention,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""compare"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--reference-prefix"",""/home/rmj/FPGA_LLM/llama2.c/artifacts/reference/probe""]",29,0.001953125,compare,True,57,2.66301469773e-05,attn_residual,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832
