binary_sha256,command,git_dirty,git_revision,invocation,layer,max_abs,mode,model_sha256,parity_pass,q8_model_sha256,records,rmse,site,threads,tolerance_failures,top1_changes,top1_rows,trace_sha256,values,variant
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""linear"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--q8-model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin""]",0,4.76837158203e-06,linear,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,True,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,57,2.74290050132e-07,model.layers.0.self_attn.q_proj.weight,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832,fp32_capture
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""linear"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--q8-model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin""]",0,0.0187520980835,linear,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,57,0.00234359477876,model.layers.0.self_attn.q_proj.weight,1,,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832,weight_only
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""linear"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--q8-model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin""]",0,0.0480947494507,linear,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,57,0.00448612866956,model.layers.0.self_attn.q_proj.weight,1,,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832,activation_only
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""linear"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--q8-model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin""]",0,0.0474491119385,linear,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,57,0.00504466727332,model.layers.0.self_attn.q_proj.weight,1,,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,32832,w8a8
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""linear"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--q8-model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin""]",0,6.19888305664e-06,linear,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,True,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,57,3.27514271305e-07,model.layers.0.self_attn.k_proj.weight,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,10944,fp32_capture
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""linear"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--q8-model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin""]",0,0.0171823501587,linear,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,57,0.00322664971349,model.layers.0.self_attn.k_proj.weight,1,,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,10944,weight_only
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""linear"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--q8-model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin""]",0,0.0522346496582,linear,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,57,0.00614637596901,model.layers.0.self_attn.k_proj.weight,1,,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,10944,activation_only
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""linear"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--q8-model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin""]",0,0.0497617721558,linear,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,57,0.00692866843206,model.layers.0.self_attn.k_proj.weight,1,,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,10944,w8a8
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""linear"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--q8-model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin""]",0,2.38418579102e-07,linear,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,True,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,57,1.20877398757e-08,model.layers.0.self_attn.v_proj.weight,1,0,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,10944,fp32_capture
f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,replay,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""linear"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-f32.bin"",""--q8-model"",""/home/rmj/FPGA_LLM/llama2.c/models/smollm2-q8.bin""]",0,0.00156463868916,linear,2d2367f33b1e87706b959fa8ec1de4b3d04572c5d5bad9b0fd6ecbd905fc7849,,b9ab3f3690b6648fe3ba2c1b75e1cb9af93b54d6f4ce9ad93867d20c2e61873d,57,0.000368059711382,model.layers.0.self_attn.v_proj.weight,1,,1,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,10944,weight_only
