binary_sha256,bit_changes,command,exact_pass,git_dirty,git_revision,invocation,layer,max_abs,mode,records,rmse,site,threads,top1_changes,top1_rows,trace_sha256,values
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,0,replay,True,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""math"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace""]",0,0,math,114,0,rms.rsqrt,1,0,0,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,114
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,0,replay,True,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""math"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace""]",0,0,math,114,0,rope.sincos,1,0,114,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,7296
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,0,replay,True,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""math"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace""]",0,0,math,513,0,softmax.exp,1,0,504,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,14877
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,0,replay,True,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""math"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace""]",0,0,math,513,0,softmax.reciprocal,1,0,0,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,513
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,0,replay,True,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""math"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace""]",0,0,math,57,0,silu.exp,1,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,87552
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,0,replay,True,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""math"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace""]",0,0,math,57,0,silu.reciprocal,1,0,57,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,87552
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,0,replay,True,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""math"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace""]",14,0,math,114,0,rms.rsqrt,1,0,0,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,114
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,0,replay,True,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""math"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace""]",14,0,math,114,0,rope.sincos,1,0,114,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,7296
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,0,replay,True,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""math"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace""]",14,0,math,513,0,softmax.exp,1,0,504,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,14877
32c208d95e7d399d60c7f87981833331dc0514eef05451e33a68609028d1f85e,0,replay,True,False,134321d78ecec1ccdee0cdd3377b677030af7905,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""math"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace""]",14,0,math,513,0,softmax.reciprocal,1,0,0,d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,513
