baseline_trace_sha256,binary_sha256,candidate_trace_sha256,command,configuration,git_dirty,git_revision,invocation,layer,max_abs,mode,records,rmse,site,threads,top1_changes,top1_rows,values
d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,0d1aea07df0c99085ffc2750f018b9f7be2a0c39ffb3a8282a0bd63552eb6ce3,replay,w8a8_fp32,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""traces"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--other"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/w8a8_fp32.smtrace""]",-1,0.00311904028058,traces,57,0.000795755879572,embedding,1,0,57,32832
d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,0d1aea07df0c99085ffc2750f018b9f7be2a0c39ffb3a8282a0bd63552eb6ce3,replay,w8a8_fp32,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""traces"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--other"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/w8a8_fp32.smtrace""]",0,0.0287070274353,traces,114,0.00869296040019,rms.rsqrt,1,0,0,114
d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,0d1aea07df0c99085ffc2750f018b9f7be2a0c39ffb3a8282a0bd63552eb6ce3,replay,w8a8_fp32,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""traces"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--other"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/w8a8_fp32.smtrace""]",0,0.00505328178406,traces,57,0.000282275304308,attn_norm,1,1,57,32832
d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,0d1aea07df0c99085ffc2750f018b9f7be2a0c39ffb3a8282a0bd63552eb6ce3,replay,w8a8_fp32,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""traces"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--other"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/w8a8_fp32.smtrace""]",0,0.0695152282715,traces,57,0.00585558049535,model.layers.0.self_attn.q_proj.weight,1,0,57,32832
d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,0d1aea07df0c99085ffc2750f018b9f7be2a0c39ffb3a8282a0bd63552eb6ce3,replay,w8a8_fp32,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""traces"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--other"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/w8a8_fp32.smtrace""]",0,0.0940237045288,traces,57,0.00814547185625,model.layers.0.self_attn.k_proj.weight,1,0,57,10944
d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,0d1aea07df0c99085ffc2750f018b9f7be2a0c39ffb3a8282a0bd63552eb6ce3,replay,w8a8_fp32,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""traces"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--other"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/w8a8_fp32.smtrace""]",0,0.00443807803094,traces,57,0.000890167882231,model.layers.0.self_attn.v_proj.weight,1,1,57,10944
d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,0d1aea07df0c99085ffc2750f018b9f7be2a0c39ffb3a8282a0bd63552eb6ce3,replay,w8a8_fp32,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""traces"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--other"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/w8a8_fp32.smtrace""]",0,0,traces,114,0,rope.sincos,1,0,114,7296
d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,0d1aea07df0c99085ffc2750f018b9f7be2a0c39ffb3a8282a0bd63552eb6ce3,replay,w8a8_fp32,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""traces"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--other"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/w8a8_fp32.smtrace""]",0,0.0695152282715,traces,57,0.00585558043925,q_rope,1,0,57,32832
d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,0d1aea07df0c99085ffc2750f018b9f7be2a0c39ffb3a8282a0bd63552eb6ce3,replay,w8a8_fp32,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""traces"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--other"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/w8a8_fp32.smtrace""]",0,0.0940237045288,traces,57,0.00814547235633,k_rope,1,0,57,10944
d444685ef3228ef0f01eee77644159391f164fdf83c26382b42ed6e2b3825ef2,f05906efefe2cee8cd8652a83b7c795128abef00ec21aec6ad7dfa318a7304e9,0d1aea07df0c99085ffc2750f018b9f7be2a0c39ffb3a8282a0bd63552eb6ce3,replay,w8a8_fp32,True,4e9f6c50354337c415bb8c37e3ed23736ee0af40,"[""/home/rmj/FPGA_LLM/llama2.c/build/smollm"",""replay"",""--mode"",""traces"",""--trace"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/fp32_fp32.smtrace"",""--other"",""/home/rmj/FPGA_LLM/llama2.c/traces/numerical/w8a8_fp32.smtrace""]",0,0.00443807803094,traces,57,0.000890167882231,v,1,1,57,10944
